ultimateparentid,rssd,year,best_match,callReports_sample,summaryOfDeposits_sample,federalReserve_sample
7898,93217,1990,0,1,0,0
7898,93217,1991,0,1,0,0
7909,95314,1994,0,1,1,0
7909,95314,1995,0,1,1,0
15433,95716,1996,0,1,1,0
15433,95716,1997,0,1,1,0
15433,95716,2001,0,1,1,0
15433,95716,2002,0,1,1,0
15433,95716,2003,0,1,1,0
15433,95716,2004,0,1,1,0
15433,95716,2005,0,1,1,0
15433,95716,2006,0,1,1,0
15433,95716,2007,0,1,1,0
15433,95716,2008,0,1,1,0
15433,95716,2009,0,1,1,0
15433,95716,2010,0,1,1,0
15433,95716,2011,0,1,1,0
15433,95716,2012,0,1,1,0
15433,95716,2013,0,1,1,0
15433,95716,2014,0,1,1,0
15433,95716,2015,0,1,1,0
13920,96218,1993,1,1,0,0
13920,96218,2001,1,1,0,0
13920,96218,2002,1,1,0,0
13920,96218,2004,1,1,0,0
13920,96218,2005,1,1,0,0
13920,96218,2007,1,1,0,0
13920,96218,2009,1,1,0,0
13920,96218,2011,1,1,0,0
13920,96218,2013,1,1,0,0
13920,96218,2014,1,1,0,0
7857,98315,1987,1,1,0,0
7857,98315,1988,1,1,0,0
7857,98315,1989,1,1,0,0
7857,98315,1990,1,1,0,0
34338,98865,1987,0,1,0,0
34338,98865,1989,0,1,0,0
34338,98865,1992,0,1,0,0
82959,99442,1989,0,1,0,1
82959,99442,2000,0,1,1,1
82959,99442,2015,0,1,1,1
6273,100674,1994,1,1,1,1
6273,100674,1995,1,1,1,1
137517,101019,2011,0,1,1,1
144318,101671,2013,1,1,1,1
14488,101859,1993,1,1,0,0
95581,103255,2003,0,1,1,1
95581,103255,2004,0,1,1,1
95581,103255,2005,0,1,1,1
95581,103255,2006,0,1,1,1
33900,104038,2004,1,1,1,1
33900,104038,2005,1,1,1,1
107398,104430,2005,1,1,1,1
14626,104458,1996,0,1,1,0
6416,105156,1987,1,1,0,0
6416,105156,1990,1,1,0,0
6263,105165,1988,0,1,0,0
6263,105165,1989,0,1,0,0
6263,105165,1990,0,1,0,0
28490,107468,1999,0,1,0,0
6514,109257,1989,1,1,0,0
6514,109257,1990,1,1,0,0
6514,109257,1992,1,1,0,0
6514,109257,1994,1,1,1,0
6514,109257,1995,1,1,1,0
11216,110543,1991,1,1,0,0
11216,110543,1992,1,1,0,0
13764,111139,1994,0,1,1,0
13764,111139,1996,0,1,1,0
13764,111139,1997,0,1,1,0
13764,111139,1999,1,1,1,0
13764,111139,2000,1,1,1,0
13764,111139,2001,1,1,1,0
13764,111139,2002,1,1,1,0
13764,111139,2003,1,1,1,0
8860,111362,1988,0,1,0,0
8860,111362,1989,0,1,0,0
8860,111362,1990,0,1,0,0
33598,111979,1999,1,1,1,1
33598,111979,2006,1,1,1,1
7861,112819,1987,0,1,0,0
7861,112819,1988,0,1,0,0
7861,112819,1989,0,1,0,0
7861,112819,1990,0,1,0,0
7861,112819,1991,0,1,0,0
7861,112819,1992,0,1,0,0
7861,112819,1993,0,1,0,0
7861,112819,1994,0,1,0,0
7861,112819,1995,0,1,0,0
7861,112819,1996,0,1,0,0
7861,112819,1997,0,1,0,0
7861,112819,1998,0,1,0,0
7861,112819,1999,0,1,0,0
7861,112819,2000,0,1,0,0
7861,112819,2001,0,1,0,0
7861,112819,2002,0,1,0,0
7861,112819,2003,0,1,0,0
7861,112819,2004,0,1,0,0
7861,112819,2005,0,1,0,0
7861,112819,2006,0,1,0,0
7861,112819,2007,0,1,0,0
7861,112819,2008,0,1,0,0
